canc_flag,gender,federal_state,region_type (Locality),qu_avg_liv_area,serv_revenue_avg,revenue_avg,discount_avg,serv_revenue_std,revenue_std,discount_std,device_type,months_since_act,stars,remaining_months,mon_since_con_start,mon_since_last_subsi,mon_til_next_subsi,voice_min_wireline_avg,voice_min_onnet_avg,voice_min_offnet_avg,data_vol_total_avg,voice_min_onnet_std,voice_min_offnet_std,data_vol_total_std,tot_nbr_calls,avg_days_of_usage_avg
0,0,14,4,2.425,10.1527,10.1527,0,1.0858,1.0858,0,3,162,1,9,15,16,6,9.56285,0.3929,7.0286,0,0.6752,4.2783,0,38,7.9202
0,0,1,3,2.8296,20.5473,24.7488,-4.2016,1.4933,1.4889,0.0162,0,24,3,23,2,2,23,0,4.0614,3.9886,0.41025,6.3669,8.4901,0.17135,7,7.9202
1,0,15,-1,2.6806,39.1915,48.9554,-9.0195,1.5345,1.3259,0.0923,0,26,3,24,1,4,24,9.56285,23.1071,12.2814,0.41025,11.2312,10.257249,0.1952,7,13.1009
1,0,1,3,3.0042,61.85,61.9127,-0.0627,1.5345,1.3259,0.0508,1,239,4,20,5,5,20,13.7943,8.58,18.0486,0.41025,8.7307,11.3396,0.17135,18,5.1006
0,0,4,2,3.9138,30.1254,34.3879,-4.2625,1.5345,1.3259,0.0923,3,11,2,14,11,11,14,2.4286,0.4857,1.1386,0.2946,0.7265,2.2792,0.0694,4,5.1006
0,0,6,4,2.7368,28.4508,45.2519,-16.8012,1.3678,1.3648,0.0031,0,225,3,15,10,10,15,9.56285,19.31,12.2814,0.41025,14.881,10.257249,0.17135,26,5.1006
0,1,9,2,2.8951,43.2607,47.6393,-4.3785,0.3002,0.1744,0.0923,3,4,1,21,4,4,21,3.945,2.1075,0.1625,0.4515,1.5696,0.2815,0.17135,26,5.1006
0,0,14,4,3.2513,29.8613,51.2306,-21.3693,0.2655,0.3693,0.0923,0,258,2,17,8,8,17,2.3257,7.4129,8.5729,0.2197,11.2864,7.6788,0.1028,15,5.1006
1,1,6,4,2.0137,38.2217,69.7197,-4.41165,1.7568,1.7514,0.0058,1,15,3,10,15,15,10,0.35,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,26,5.1006
1,1,3,2,2.8525,46.3444,52.7086,-3.5582,1.5345,1.3259,0.0923,3,14,3,22,3,14,11,9.56285,15.78285,6.0514,0.41025,11.2312,5.7287,0.17135,35,5.1006
0,1,1,2,2.8525,27.6828,31.9453,-4.2625,1.2792,1.3447,0.0923,3,14,2,11,14,14,11,1.84,23.4614,8.7914,0.41025,8.9952,7.9362,0.17135,44,8.7997
0,1,4,4,3.0737,25.0506,25.0506,0,1.5345,1.3259,0,3,145,2,6,15,16,6,9.56285,27.28,13.1943,0.1549,12.5274,12.3246,0.1354,44,8.7997
0,1,13,3,3.5062,32.3989,70.1805,-4.41165,1.5345,1.3259,0,1,25,2,20,5,5,20,11.4986,28.2629,22.56,0.0601,8.7437,6.4612,0.0252,44,8.60165
0,0,16,2,2.4928,35.435,39.6353,-4.2003,1.5345,1.3259,0.0008,3,25,2,12,25,5,6,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,26,9.4951
0,0,9,2,3.8803,34.5105,51.3215,-16.8109,2.2599,2.2607,0.0032,0,209,3,19,6,11,19,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,26,9.8701
0,1,5,3,3.7179,39.8572,48.1316,-8.2745,0.7041,0.5789,0.1721,3,7,2,18,7,7,18,9.56285,15.78285,9.6086,0.1909,11.2312,11.5532,0.2407,42,7.932
0,1,6,3,3.7179,9.8836,26.6825,-16.7989,0.557,0.5576,0.0328,3,91,3,7,30,7,-1,0.9943,15.78285,16.6757,0.0007,11.2312,11.5689,0.0016,3,7.932
0,1,3,2,3.6626,8.449,10.9713,-2.5223,0.0794,0.09,0.0118,3,25,1,12,25,7,6,4.1314,1.3614,0.4957,0.0472,1.252,0.811,0.0632,2,7.932
0,1,6,4,3.005,43.1032,52.0404,-8.9372,1.2972,1.2721,0.0923,1,14,2,15,10,10,15,9.3,22.0471,1.76,0.0788,15.4703,1.8211,0.0881,2,5.5429
0,1,9,3,3.3052,51.0926,51.3083,-0.2158,0.5388,0.7107,0.0923,3,107,3,11,14,14,11,12.07,2.6529,2.8171,0.41025,2.7126,2.6728,0.17135,2,5.5429
1,0,9,2,3.3052,51.0926,51.3083,-0.2158,0.5388,0.7107,0.0923,3,1,0,24,1,14,25,12.07,2.6529,2.8171,0.41025,2.7126,2.6728,0.17135,2,5.5429
1,0,6,3,2.7959,60.203,77.0137,-16.8108,1.5487,1.5497,0.0033,0,90,3,12,25,25,0,6.2757,8.1343,0.1786,0,10.4839,0.4374,0,4,5.5429
0,0,3,2,3.4293,8.3614,8.3614,0,0,0,0,3,210,1,12,15,16,6,0,0.2957,0,0,0.3922,0,0,1,5.5429
0,1,9,3,3.6037,13.1244,17.6035,-4.4791,0.8963,1.3215,0.0923,3,215,1,5,15,16,6,3.1329,2.6257,5.1329,0.1244,4.7248,5.1172,0.1042,16,6.9329
0,0,6,4,3.6037,21.7151,26.3133,-4.5981,0.2999,0.5054,0.0923,0,19,2,6,19,19,6,11.7671,15.78285,12.2814,0.0279,11.2312,10.257249,0.0064,42,12.079
1,1,9,2,3.7239,27.7495,34.3858,-6.6363,0.8771,0.1424,0.0923,0,34,3,16,9,9,16,11.1129,15.78285,12.2814,0.1051,11.2312,19.1452,0.0526,25,12.079
0,1,3,4,2.7273,25.3467,26.0114,-0.3545,1.5345,1.3259,0.0923,1,181,2,22,3,5,22,9.73,15.78285,1.5243,0.41025,11.2312,1.0988,0.169,39,11.5463
0,1,6,4,2.6042,0.6253,0.6253,0,0.5726,0.5726,0,3,148,0,6,19,16,6,5.6586,2.6414,3.8629,0,3.9326,5.3133,0,13,11.5463
0,1,6,3,4,25.0853,25.4876,-0.4023,0.9098,0.9451,0.0923,3,21,2,4,21,16,6,9.56285,15.78285,12.2814,0.41025,6.7069,10.257249,0.2599,26,10.3112
0,1,6,2,3.3767,33.9343,42.3708,-8.4365,0.1976,0.2523,0.0547,3,17,2,8,17,17,8,10.4829,0.4757,14.2414,0.41025,1.0163,9.0169,0.17135,15,10.3112
0,0,6,4,2.2366,20.7644,31.2511,-10.4867,0.4771,0.5042,0.0679,1,214,2,13,12,16,-10,9.56285,15.78285,12.2814,0.3587,11.2312,10.257249,0.1162,43,8.599
0,0,4,2,3.5682,57.4439,57.4439,0,1.1367,1.1367,0,1,192,3,10,15,15,10,10.0229,15.78285,11.7157,0.41025,16.1471,6.4397,0.17135,29,8.599
0,0,9,-1,3.1354,18.5392,35.4777,-0.1318,1.9213,1.9067,0.1522,0,62,2,16,9,9,16,9.56285,15.78285,5.8914,0.41025,18.8463,7.6564,0.1077,5,8.4302
0,1,2,2,3,54.5241,54.6937,-0.1695,1.5345,1.3259,0.0923,0,52,2,24,1,1,24,13.0243,28.2629,14.6414,0.0149,11.2312,10.257249,0.0361,5,8.4302
1,0,1,4,2.8133,59.1742,63.3924,-4.2182,1.5345,1.3259,0.0274,1,46,3,15,10,10,15,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,26,8.5598
0,0,9,2,2.5109,35.4304,61.1539,-25.7236,1.5345,1.3259,0.0923,0,194,3,19,6,6,19,13.3771,9.9871,12.2814,0.2653,6.4477,11.6762,0.1253,26,7.6485
1,1,5,4,3.3049,49.958,62.5572,-12.5991,1.5345,1.3259,0.0246,0,28,3,24,1,1,24,9.56285,15.78285,12.2814,0.41025,11.0876,10.257249,0.17135,45,7.6485
0,1,1,2,3,21.6613,33.9054,-7.4422,1.5345,1.3259,0.0923,0,202,2,22,3,5,22,3.5543,1.6829,13.7871,0.41025,2.8973,7.7994,0.17135,14,7.9365
0,0,2,2,2.9354,52.8114,52.8576,-0.0462,1.3822,1.3833,0.1133,0,47,3,3,22,22,3,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,14,8.641
0,0,9,-1,3.5425,12.9357,21.4565,-8.5208,0.1322,0.0521,0.1337,3,24,1,13,24,22,6,1.6157,8.0471,15.3657,0.4703,3.0267,10.5742,0.2382,26,8.7747
1,0,9,2,3.2343,36.7967,44.8276,-8.0309,1.8651,1.3259,0.0923,3,8,2,17,8,8,17,3.3214,15.78285,12.2814,0.41025,12.7671,10.257249,0.17135,39,8.7747
0,0,6,4,2.8736,21.6918,57.8404,-4.41165,1.0675,1.1045,0.0527,3,58,3,15,10,15,15,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.226,26,8.7747
0,0,12,3,3,17.6354,26.3628,-8.1272,1.3553,0.1714,0.0994,0,151,1,24,1,20,10,1.0014,3.6429,12.7343,0.41025,3.2042,8.9461,0.095,16,10.1121
1,1,6,3,3,35.4098,35.4098,0,1.5345,1.3259,0,0,30,2,19,6,6,19,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,19,10.0497
0,1,8,4,2.6887,9.9047,37.2276,0,1.5345,2.1955,0,0,171,3,7,18,18,7,9.56285,15.78285,12.2814,0.4986,11.2312,10.257249,0.17135,26,9.0852
1,0,4,-1,3.99,20.2225,24.4784,-4.2559,1.5345,1.3259,0.1244,3,15,2,10,15,18,6,5.3186,20.2886,12.2814,0.1678,5.1886,4.3544,0.025,26,9.0852
0,0,4,2,3.4747,30.3179,38.721,-8.4032,0.1891,0.2169,0.0326,3,186,2,24,1,3,24,10.4714,11.9771,2.8614,0.0075,5.5401,1.7177,0.0184,18,9.0852
0,0,7,3,2.894,29.5349,48.108,-18.573,2.1572,1.2231,0.0923,0,164,3,17,8,10,17,9.56285,15.78285,12.2814,0.385,11.2312,18.2506,0.17135,18,16.1126
0,1,6,3,3.0388,15.6711,15.6595,0.0116,0.3221,0.3107,0.0285,0,146,1,5,15,16,-7,0.7471,8.0757,1.2857,0.0455,13.1408,2.9892,0.0159,4,12.4039
0,1,3,-1,3,11.5165,11.5398,-0.0233,1.1363,0.1757,0.0923,3,229,1,6,15,16,6,2.0043,3.4471,6.4471,0.0916,2.5098,2.9381,0.0327,4,8.0489
